# Peter Rasmussen: Programming Assignment 1
n,m,n_dist_comps,n_heapifies,total_ops
2,2,1,0,1
4,4,6,3,9
8,8,28,14,42
16,16,120,60,180
32,32,496,248,744
64,64,2016,1008,3024
128,128,8128,4064,12192
256,256,32640,16320,48960
512,512,130816,65408,196224
1024,1024,523776,261888,785664
1024,2,523776,261888,785664
1024,4,523776,261888,785664
1024,8,523776,261888,785664
1024,16,523776,261888,785664
1024,32,523776,261888,785664
1024,64,523776,261888,785664
1024,128,523776,261888,785664
1024,256,523776,261888,785664
