Peter Rasmussen: Lab 4
presort_n,presort,n,metric,unsorted,heap_sort,two_way_merge,three_way_merge,four_way_merge,natural_merge
rev1k,rev,1000,n,1000,1000,1000,1000,1000,1000
rev1k,rev,1000,n_comparisons,N/A,27997,4932,13530,23242,4932
rev1k,rev,1000,n_exchanges,N/A,8316,6932,5584,5063,6932
rev1k,rev,1000,n_partition_calls,N/A,0,999,999,999,1000
rev1k,rev,1000,elapsed_ns,N/A,15930000,15193000,14699000,17136000,14713000
asc50,asc,50,n,50,50,50,50,50,50
asc50,asc,50,n_comparisons,N/A,865,161,178,241,49
asc50,asc,50,n_exchanges,N/A,270,101,75,67,0
asc50,asc,50,n_partition_calls,N/A,0,49,49,49,50
asc50,asc,50,elapsed_ns,N/A,503000,558000,540000,439000,178000
dup1k,dup,1000,n,1000,1000,1000,1000,1000,1000
dup1k,dup,1000,n_comparisons,N/A,31511,8743,20477,35164,8746
dup1k,dup,1000,n_exchanges,N/A,9100,6289,5106,4663,5040
dup1k,dup,1000,n_partition_calls,N/A,0,999,999,999,1000
dup1k,dup,1000,elapsed_ns,N/A,24572000,16222000,16535000,18830000,13737000
rev10k,rev,10000,n,10000,10000,10000,10000,10000,10000
rev10k,rev,10000,n_comparisons,N/A,413935,64608,179990,290248,64608
rev10k,rev,10000,n_exchanges,N/A,116696,84612,70309,63583,84612
rev10k,rev,10000,n_partition_calls,N/A,0,9999,9999,9999,10000
rev10k,rev,10000,elapsed_ns,N/A,277818000,242369000,248091000,313894000,262160000
ran500,ran,500,n,500,500,500,500,500,500
ran500,ran,500,n_comparisons,N/A,13717,3838,9204,11838,3854
ran500,ran,500,n_exchanges,N/A,4020,2882,2415,2180,2292
ran500,ran,500,n_partition_calls,N/A,0,499,499,499,500
ran500,ran,500,elapsed_ns,N/A,15375000,11258000,8749000,10675000,11462000
ran1k,ran,1000,n,1000,1000,1000,1000,1000,1000
ran1k,ran,1000,n_comparisons,N/A,31285,8732,19680,30149,8801
ran1k,ran,1000,n_exchanges,N/A,9062,6265,5073,4651,5214
ran1k,ran,1000,n_partition_calls,N/A,0,999,999,999,1000
ran1k,ran,1000,elapsed_ns,N/A,19900000,19332000,19973000,15416000,17892000
dup10k,dup,10000,n,10000,10000,10000,10000,10000,10000
dup10k,dup,10000,n_comparisons,N/A,446634,123664,279780,430152,123486
dup10k,dup,10000,n_exchanges,N/A,124109,78238,65511,59479,65816
dup10k,dup,10000,n_partition_calls,N/A,0,9999,9999,9999,10000
dup10k,dup,10000,elapsed_ns,N/A,418850000,583071000,600927000,370030000,290681000
asc5,asc,5,n,5,5,5,5,5,5
asc5,asc,5,n_comparisons,N/A,22,8,7,10,4
asc5,asc,5,n_exchanges,N/A,10,10,7,7,0
asc5,asc,5,n_partition_calls,N/A,0,4,4,4,5
asc5,asc,5,elapsed_ns,N/A,1618000,214000,102000,94000,55000
ran50,ran,50,n,50,50,50,50,50,50
ran50,ran,50,n_comparisons,N/A,743,226,419,668,226
ran50,ran,50,n_exchanges,N/A,246,203,175,153,148
ran50,ran,50,n_partition_calls,N/A,0,49,49,49,50
ran50,ran,50,elapsed_ns,N/A,995000,1150000,738000,854000,885000
asc500,asc,500,n,500,500,500,500,500,500
asc500,asc,500,n_comparisons,N/A,15279,2276,3193,3286,499
asc500,asc,500,n_exchanges,N/A,4354,1000,752,667,0
asc500,asc,500,n_partition_calls,N/A,0,499,499,499,500
asc500,asc,500,elapsed_ns,N/A,12661000,10088000,10707000,10454000,6642000
rev50,rev,50,n,50,50,50,50,50,50
rev50,rev,50,n_comparisons,N/A,588,133,345,593,133
rev50,rev,50,n_exchanges,N/A,207,234,195,174,234
rev50,rev,50,n_partition_calls,N/A,0,49,49,49,50
rev50,rev,50,elapsed_ns,N/A,713000,1107000,872000,999000,1002000
asc1k,asc,1000,n,1000,1000,1000,1000,1000,1000
asc1k,asc,1000,n_comparisons,N/A,34635,5052,6669,7552,999
asc1k,asc,1000,n_exchanges,N/A,9708,2000,1504,1333,0
asc1k,asc,1000,n_partition_calls,N/A,0,999,999,999,1000
asc1k,asc,1000,elapsed_ns,N/A,40584000,31428000,33772000,90592000,10308000
dup50,dup,50,n,50,50,50,50,50,50
dup50,dup,50,n_comparisons,N/A,698,231,476,854,232
dup50,dup,50,n_exchanges,N/A,239,209,175,158,150
dup50,dup,50,n_partition_calls,N/A,0,49,49,49,50
dup50,dup,50,elapsed_ns,N/A,799000,1019000,4027000,1023000,774000
asc2k,asc,2000,n,2000,2000,2000,2000,2000,2000
asc2k,asc,2000,n_comparisons,N/A,77001,11104,14338,16144,1999
asc2k,asc,2000,n_exchanges,N/A,21300,4000,3002,2667,0
asc2k,asc,2000,n_partition_calls,N/A,0,1999,1999,1999,2000
asc2k,asc,2000,elapsed_ns,N/A,104836000,65342000,44272000,48772000,16885000
dup5k,dup,5000,n,5000,5000,5000,5000,5000,5000
dup5k,dup,5000,n_comparisons,N/A,203883,56907,140102,204707,56789
dup5k,dup,5000,n_exchanges,N/A,57190,36733,30771,27387,30849
dup5k,dup,5000,n_partition_calls,N/A,0,4999,4999,4999,5000
dup5k,dup,5000,elapsed_ns,N/A,230678000,212928000,126650000,135232000,179610000
asc10k,asc,10000,n,10000,10000,10000,10000,10000,10000
asc10k,asc,10000,n_comparisons,N/A,483125,71712,84942,100912,9999
asc10k,asc,10000,n_exchanges,N/A,131956,20004,15004,13335,0
asc10k,asc,10000,n_partition_calls,N/A,0,9999,9999,9999,10000
asc10k,asc,10000,elapsed_ns,N/A,731065000,451716000,307460000,193754000,71304000
